id,user_id,type,title,message,related_id,meta_data,read,created_at,updated_at,expires_at
1219,3,reservation_request,Nueva solicitud de reservación,"Dulce  Perez (Comisionista) envió una solicitud de reservación para Acapulco de Juarez, Guerrero - Terminal condesa → Coyoacan, Ciudad de Mexico - Taxqueña",407,"{""requestId"":407,""tripId"":2024,""requesterName"":""Dulce  Perez (Comisionista)"",""amount"":1350,""passengers"":3}",false,2025-08-05 19:45:28.782713,2025-08-05 19:45:28.782713,2025-08-08 19:45:28.775
1220,4,reservation_request,Nueva solicitud de reservación,"Dulce  Perez (Comisionista) envió una solicitud de reservación para Acapulco de Juarez, Guerrero - Terminal condesa → Coyoacan, Ciudad de Mexico - Taxqueña",407,"{""requestId"":407,""tripId"":2024,""requesterName"":""Dulce  Perez (Comisionista)"",""amount"":1350,""passengers"":3}",true,2025-08-05 19:45:28.782935,2025-08-05 19:45:28.782935,2025-08-08 19:45:28.776
1221,6,reservation_request,Nueva solicitud de reservación,"Dulce  Perez (Comisionista) envió una solicitud de reservación para Acapulco de Juarez, Guerrero - Terminal condesa → Coyoacan, Ciudad de Mexico - Taxqueña",407,"{""requestId"":407,""tripId"":2024,""requesterName"":""Dulce  Perez (Comisionista)"",""amount"":1350,""passengers"":3}",false,2025-08-05 19:45:28.890085,2025-08-05 19:45:28.890085,2025-08-08 19:45:28.776
1222,4,reservation_request,Nueva solicitud de reservación,"Dulce  Perez (Comisionista) envió una solicitud de reservación para Acapulco de Juarez, Guerrero - Terminal condesa → Coyoacan, Ciudad de Mexico - Taxqueña",408,"{""requestId"":408,""tripId"":2024,""requesterName"":""Dulce  Perez (Comisionista)"",""amount"":900,""passengers"":2}",true,2025-08-05 20:20:46.600901,2025-08-05 20:20:46.600901,2025-08-08 20:20:46.586
1223,3,reservation_request,Nueva solicitud de reservación,"Dulce  Perez (Comisionista) envió una solicitud de reservación para Acapulco de Juarez, Guerrero - Terminal condesa → Coyoacan, Ciudad de Mexico - Taxqueña",408,"{""requestId"":408,""tripId"":2024,""requesterName"":""Dulce  Perez (Comisionista)"",""amount"":900,""passengers"":2}",false,2025-08-05 20:20:46.601677,2025-08-05 20:20:46.601677,2025-08-08 20:20:46.586
1224,6,reservation_request,Nueva solicitud de reservación,"Dulce  Perez (Comisionista) envió una solicitud de reservación para Acapulco de Juarez, Guerrero - Terminal condesa → Coyoacan, Ciudad de Mexico - Taxqueña",408,"{""requestId"":408,""tripId"":2024,""requesterName"":""Dulce  Perez (Comisionista)"",""amount"":900,""passengers"":2}",false,2025-08-05 20:20:46.706978,2025-08-05 20:20:46.706978,2025-08-08 20:20:46.587
1225,4,reservation_request,Nueva solicitud de reservación,"Alberto  Moreno (Comisionista) envió una solicitud de reservación para Coyoacan, Ciudad de Mexico - Taxqueña → Acapulco de Juarez, Guerrero - Terminal condesa",409,"{""requestId"":409,""tripId"":2397,""requesterName"":""Alberto  Moreno (Comisionista)"",""amount"":1800,""passengers"":4}",true,2025-08-05 20:45:11.576926,2025-08-05 20:45:11.576926,2025-08-08 20:45:11.566
1226,3,reservation_request,Nueva solicitud de reservación,"Alberto  Moreno (Comisionista) envió una solicitud de reservación para Coyoacan, Ciudad de Mexico - Taxqueña → Acapulco de Juarez, Guerrero - Terminal condesa",409,"{""requestId"":409,""tripId"":2397,""requesterName"":""Alberto  Moreno (Comisionista)"",""amount"":1800,""passengers"":4}",false,2025-08-05 20:45:11.578079,2025-08-05 20:45:11.578079,2025-08-08 20:45:11.566
1227,6,reservation_request,Nueva solicitud de reservación,"Alberto  Moreno (Comisionista) envió una solicitud de reservación para Coyoacan, Ciudad de Mexico - Taxqueña → Acapulco de Juarez, Guerrero - Terminal condesa",409,"{""requestId"":409,""tripId"":2397,""requesterName"":""Alberto  Moreno (Comisionista)"",""amount"":1800,""passengers"":4}",false,2025-08-05 20:45:11.695574,2025-08-05 20:45:11.695574,2025-08-08 20:45:11.566
1228,4,reservation_request,Nueva solicitud de reservación,"Alberto  Moreno (Comisionista) envió una solicitud de reservación para Acapulco de Juarez, Guerrero - Terminal condesa → Coyoacan, Ciudad de Mexico - Taxqueña",410,"{""requestId"":410,""tripId"":2098,""requesterName"":""Alberto  Moreno (Comisionista)"",""amount"":450,""passengers"":1}",true,2025-08-05 22:09:45.071135,2025-08-05 22:09:45.071135,2025-08-08 22:09:45.059
