id,name,origin,stops,destination,company_id
3,Acapulco de Juarez - Taxqueña,"Acapulco de Juarez, Guerrero - Terminal condesa","[""Acapulco de Juarez, Guerrero - Gas de la giovanna (Renacimiento) "",""Acapulco de Juarez, Guerrero - Plaza Caracol"",""Acapulco de Juarez, Guerrero - Gas de la venta"",""Acapulco de Juarez, Guerrero - Oxxo de la Mica"",""Acapulco de Juarez, Guerrero - Baños de los federales"",""Acapulco de Juarez, Guerrero - Caseta de la Venta"",""Dos arroyos, Guerrero - Puente de Dos arroyos sobre carretera"",""Ocotito, Guerrero - Restaurante los Abuelos, sobre carretera"",""Chilpancingo de los Bravo, Guerrero - Terminal Chilpancingo"",""Tuliman, Guerrero - Paredero de Tuliman, sobre carretera"",""Paso Morelos, Guerrero - Caseta de Paso Morelos"",""Tequesquitengo, Morelos - Entronque de Tequesquitengo, sobre carretera"",""Alpuyeca, Morelos - Caseta Vieja "",""Xochitepec, Morelos - Enfrente de Xochiplaza, sobre carretera"",""Cuernavaca, Morelos - Mcdonals del Polvorin"",""Cuernavaca, Morelos - Galerias Cuernavaca"",""Tlalpan, Ciudad de Mexico - Topilejo"",""Tlalpan, Ciudad de Mexico - Colegio Militar (Puente vehicular) ""]","Coyoacan, Ciudad de Mexico - Taxqueña",bamo-373009
4,México -  Acapulco,"Coyoacan, Ciudad de Mexico - Taxqueña","[""Tlalpan, Ciudad de Mexico - San Pedro Martir "",""Tlalpan, Ciudad de Mexico - Colegio Militar (Puente vehicular) "",""Tlalpan, Ciudad de Mexico - Caseta de Tlalpan"",""Tlalpan, Ciudad de Mexico - Topilejo"",""Cuernavaca, Morelos - Hotel los Girasoles"",""Cuernavaca, Morelos - Restaurante los Cochinitos"",""Cuernavaca, Morelos - Nissan agricola Polvorin"",""Xochitepec, Morelos - Las brisas"",""Xochitepec, Morelos - Xochitepec (Gas de xochiplaza) "",""Alpuyeca, Morelos - Caseta Vieja "",""Tequesquitengo, Morelos - Entronque de Tequesquitengo, sobre carretera"",""Paso Morelos, Guerrero - Caseta de Paso Morelos"",""Tuliman, Guerrero - Paradero"",""Chilpancingo de los Bravo, Guerrero - Enfrente de la terminal costa line"",""Ocotito, Guerrero - Enfrente de restaurante los abuelos"",""Dos arroyos, Guerrero - Puente de Dos arroyos sobre carretera"",""Acapulco de Juarez, Guerrero - Caseta de la Venta"",""Acapulco de Juarez, Guerrero - Oxxo de la mica"",""Acapulco de Juarez, Guerrero - Plaza caracol"",""Acapulco de Juarez, Guerrero - KFC de la Zapata""]","Acapulco de Juarez, Guerrero - Terminal condesa",bamo-373009
